Chapter,Node_ID,Scene,Summary,Midjourney_Prompt_En,Leonardo_Prompt_Zh
,C1_N1,后院异响,收摊时听见院外坠落声，玩家决定是否查看。,"Visual novel CG, ancient Chinese style, high quality 2D anime art. Scene: 后院异响. Story: 收摊时听见院外坠落声，玩家决定是否查看。. Cinematic lighting, detailed background, dramatic composition --ar 16:9",视觉小说CG，中国古风，高精度2D游戏美术。场景：后院异响。画面描述：收摊时听见院外坠落声，玩家决定是否查看。。电影级光影，细节丰富，氛围感强，16:9
,C1_N2,雪地发现伤者,发现一名重伤男子倒在雪地里，手中握着碎裂玉佩。,"Visual novel CG, ancient Chinese style, high quality 2D anime art. Scene: 雪地发现伤者. Story: 发现一名重伤男子倒在雪地里，手中握着碎裂玉佩。. Cinematic lighting, detailed background, dramatic composition --ar 16:9",视觉小说CG，中国古风，高精度2D游戏美术。场景：雪地发现伤者。画面描述：发现一名重伤男子倒在雪地里，手中握着碎裂玉佩。。电影级光影，细节丰富，氛围感强，16:9
,C1_N3A,立刻施救,将人背进屋中止血。谢征生存，初始信任较高。,"Visual novel CG, ancient Chinese style, high quality 2D anime art. Scene: 立刻施救. Story: 将人背进屋中止血。谢征生存，初始信任较高。. Cinematic lighting, detailed background, dramatic composition --ar 16:9",视觉小说CG，中国古风，高精度2D游戏美术。场景：立刻施救。画面描述：将人背进屋中止血。谢征生存，初始信任较高。。电影级光影，细节丰富，氛围感强，16:9
,C1_N3B,拖去柴房观察,先把人藏入柴房，担心引火烧身。,"Visual novel CG, ancient Chinese style, high quality 2D anime art. Scene: 拖去柴房观察. Story: 先把人藏入柴房，担心引火烧身。. Cinematic lighting, detailed background, dramatic composition --ar 16:9",视觉小说CG，中国古风，高精度2D游戏美术。场景：拖去柴房观察。画面描述：先把人藏入柴房，担心引火烧身。。电影级光影，细节丰富，氛围感强，16:9
,C1_N3C,搜身确认身份,在伤者身上找到残玉与密信残页。,"Visual novel CG, ancient Chinese style, high quality 2D anime art. Scene: 搜身确认身份. Story: 在伤者身上找到残玉与密信残页。. Cinematic lighting, detailed background, dramatic composition --ar 16:9",视觉小说CG，中国古风，高精度2D游戏美术。场景：搜身确认身份。画面描述：在伤者身上找到残玉与密信残页。。电影级光影，细节丰富，氛围感强，16:9
,C1_FEVER,深夜发热,半夜谢征发烧抓住女主手腕，低哑念出一个男人的名字。暧昧昏黄烛光。,"Visual novel CG, otome game style, ancient Chinese, high quality 2D anime art. Scene: 深夜发热. Story: 半夜谢征发烧抓住女主手腕，低哑念出一个男人的名字。暧昧昏黄烛光，乙女向心动场景。. Cinematic lighting, intimate atmosphere, dramatic composition --ar 16:9",视觉小说CG，乙女向，中国古风，高精度2D游戏美术。场景：深夜发热。画面描述：半夜谢征发烧抓住女主手腕，低哑念出一个男人的名字。暧昧昏黄烛光，心动场景。。电影级光影，细节丰富，氛围感强，16:9
,C1_N4,苏醒试探,谢征短暂醒来，隐瞒真实身份，只称自己遭人追杀。,"Visual novel CG, ancient Chinese style, high quality 2D anime art. Scene: 苏醒试探. Story: 谢征短暂醒来，隐瞒真实身份，只称自己遭人追杀。. Cinematic lighting, detailed background, dramatic composition --ar 16:9",视觉小说CG，中国古风，高精度2D游戏美术。场景：苏醒试探。画面描述：谢征短暂醒来，隐瞒真实身份，只称自己遭人追杀。。电影级光影，细节丰富，氛围感强，16:9
,C1_N5,官差巡街,外面传来搜捕声，玩家需决定如何掩护谢征。,"Visual novel CG, ancient Chinese style, high quality 2D anime art. Scene: 官差巡街. Story: 外面传来搜捕声，玩家需决定如何掩护谢征。. Cinematic lighting, detailed background, dramatic composition --ar 16:9",视觉小说CG，中国古风，高精度2D游戏美术。场景：官差巡街。画面描述：外面传来搜捕声，玩家需决定如何掩护谢征。。电影级光影，细节丰富，氛围感强，16:9
,C1_END,章节结尾,谢征暂时留在猪肉铺，玩家卷入未知风波。,"Visual novel CG, ancient Chinese style, high quality 2D anime art. Scene: 章节结尾. Story: 谢征暂时留在猪肉铺，玩家卷入未知风波。. Cinematic lighting, detailed background, dramatic composition --ar 16:9",视觉小说CG，中国古风，高精度2D游戏美术。场景：章节结尾。画面描述：谢征暂时留在猪肉铺，玩家卷入未知风波。。电影级光影，细节丰富，氛围感强，16:9
,C2_N1,铺中风波,大伯一家上门逼迫交出铺面，顺带怀疑谢征身份。,"Visual novel CG, ancient Chinese style, high quality 2D anime art. Scene: 铺中风波. Story: 大伯一家上门逼迫交出铺面，顺带怀疑谢征身份。. Cinematic lighting, detailed background, dramatic composition --ar 16:9",视觉小说CG，中国古风，高精度2D游戏美术。场景：铺中风波。画面描述：大伯一家上门逼迫交出铺面，顺带怀疑谢征身份。。电影级光影，细节丰富，氛围感强，16:9
