chapter,title,node_id,scene,summary,condition,effects,choices,full_text_preview
1,风雪夜救人,C1_N1,后院异响,收摊时听见院外坠落声，玩家决定是否查看。,无,无,"提灯去看->C1_N2；先把门闩好再去看->C1_N2（谨慎+2）","大雪封街，收摊比平日早了半个时辰。你正要合上后门，忽听院外一声闷响..."
1,风雪夜救人,C1_N2,雪地伤者,发现重伤男子倒在雪地手握碎玉。强调初见心动。,无,角色谢征登场,"把人背进屋->C1_N3A；先搬去柴房观察->C1_N3B；搜身弄清身份->C1_N3C","雪地里躺着一名男子。血迹已被风雪糊成暗色...你的心跳漏了一拍。可你舍得吗？"
1,风雪夜救人,C1_N3A,连夜施救,将人背进内屋止血。谢征生存，初始信任较高。,选择把人背进屋,谢征好感+15；名声+1,"低声问他姓名->C1_FEVER；什么也不问先救人->C1_FEVER","你把人背进内屋，火盆旁的热气让他身子微微抖了一下..."
1,风雪夜救人,C1_FEVER,深夜发热,半夜发烧抓住女主手腕念出男人名字。暧昧张力。,从C1_N3A进入,根据选择影响好感,"守在他身边一夜->C1_N4（好感+20）；换过药轻手退开->C1_N4（好感+8）；低声问那个名字是谁->C1_N4（好感+5 怀疑+3）","迷迷糊糊中，他抓住了你的手腕。他低哑地念了一个名字..."
1,风雪夜救人,C1_N3B,柴房观察,把人藏入柴房，担心引火烧身。,选择先搬去柴房,谢征好感-5；谨慎+1,"深夜送药->C1_N4；等天亮再看->C1_N4（好感-5 危险+2）","柴房里潮冷，草垛带着霉味..."
1,风雪夜救人,C1_N3C,搜身确认,在伤者身上找到残玉与密信残页。,选择搜身,获得道具残玉；获得线索密信残页,"把残玉放回他手边->C1_N4（好感+5）；先藏起残玉->C1_N4（持有残玉=true 怀疑+3）","腰间有一枚残玉，纹样精细，刻工深峻..."
1,风雪夜救人,C1_N4,苏醒试探,谢征短暂醒来隐瞒身份。目光落在女主身上有一丝说不清的什么。,无,开启变量身份怀疑,"点头暂时相信他->C1_N5；追问追杀者->C1_N5；警告天亮必须离开->C1_N5","天光透进来时，他醒了。他开口，声音沙哑：我遭人追杀..."
1,风雪夜救人,C1_N5,官差巡街,谢征把命交到女主手里说「你决定」。心动感。,无,无,"把他藏进地窖->C1_END；编称远房表兄->C1_END；让他自己应对->C1_END","他轻声说：你决定。三个字，把命交到你手里。"
1,风雪夜救人,C1_END,第一章终,谢征暂时留在铺子后院。强调命运感。,完成本章,解锁第二章,进入第二章->C2_N1,"巡街声渐远，雪却下得更紧。有些事，一旦开始，就再也回不去了。"
2,假婚避祸,C2_N1,大伯上门,大伯一家登门逼迫铺面，试探后院男人。谢征隔门在听。,第二章开始,家产压力+1,"强硬驱赶->C2_N2A；息事宁人->C2_N2B；请谢征出来周旋->C2_N2C","第二日一早，大伯一家登门。大伯的眼神在你身上、在后院门上来回扫..."
